jurisdiction,site,plotid,year,pre_post_fire,azimuth,slope_percent,x1h_length_m,x10h_length_m,x100h_length_m,x1000h_length_m,count_x1h,count_x10h,count_x100h,duff1_cm,litter1_cm,duff2_cm,litter2_cm,fuel1_cm,fuel2_cm,notes
UC_reserve,Valentine,VR23,2019,prefire,270,<20,2,2,4,11.3,47,2,1,6.5,7,5,0.5,na,na,
UC_reserve,Valentine,VR20,2019,prefire,0,<20,2,2,4,11.3,8,1,0,6,3,4,3,na,na,
UC_reserve,Valentine,VR20,2019,prefire,90,<20,2,2,4,11.3,54,1,0,5,3,4,3,na,na,
UC_reserve,Valentine,VR20,2019,prefire,180,<20,2,2,4,11.3,7,12,0,2,1,6,5,na,na,
UC_reserve,Valentine,VR20,2019,prefire,270,<20,2,2,4,11.3,4,5,0,6,5,8,4,na,na,
UC_reserve,Valentine,VR1,2019,prefire,0,-38,2,2,4,11.3,3,0,1,9,0,4.5,0.5,na,na,
UC_reserve,Valentine,VR1,2019,prefire,90,<20,2,2,4,11.3,26,3,0,6.6,0.5,8.6,3,na,na,
UC_reserve,Valentine,VR1,2019,prefire,180,54,2,2,4,11.3,16,5,3,6.3,0,12.4,2.5,na,na,
UC_reserve,Valentine,VR1,2019,prefire,270,<20,2,2,4,11.3,9,6,2,8,1,6,2,na,na,
UC_reserve,Valentine,VR11,2019,prefire,0,24,2,2,4,11.3,3,1,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,90,<20,2,2,4,11.3,1,1,2,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,180,<20,2,2,4,11.3,2,5,3,0,0,0,0,na,na,
UC_reserve,Valentine,VR11,2019,prefire,270,<20,2,2,4,11.3,9,8,0,0,0,0,0,na,na,
UC_reserve,Valentine,VR29,2019,prefire,0,<20,2,2,4,11.3,20,4,1,4,4,0,5,na,na,
UC_reserve,Valentine,VR29,2019,prefire,90,<20,2,2,4,11.3,33,4,1,2.5,8,0,2,na,na,
UC_reserve,Valentine,VR29,2019,prefire,180,<20,2,2,4,11.3,30,5,1,2,3,1.5,5,na,na,
UC_reserve,Valentine,VR29,2019,prefire,270,<20,2,2,4,11.3,9,3,0,2,6,3,3,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,0,<20,2,2,4,11.3,28,14,4,10,1,13,2,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,90,<20,2,2,4,11.3,16,5,1,3,2,7,6,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,180,<20,2,2,4,11.3,14,13,0,5,1,8,0.5,na,na,
UC_reserve,Valentine,VR16N,2019,prefire,270,<20,2,2,4,11.3,32,45,1,8,0,9,1,na,na,
UC_reserve,Valentine,VR43,2019,prefire,0,<20,2,2,4,11.3,3,3,0,0,2,0,0,na,na,
UC_reserve,Valentine,VR43,2019,prefire,90,<20,2,2,4,11.3,3,1,0,4,2,3,2,na,na,
UC_reserve,Valentine,VR43,2019,prefire,180,<20,2,2,4,11.3,0,1,1,0,0,0,0,na,na,
UC_reserve,Valentine,VR43,2019,prefire,270,<20,2,2,4,11.3,1,0,1,0,0,0,0,na,na,
UC_reserve,Valentine,VR25,2019,prefire,0,<20,2,2,4,11.3,7,9,2,2,2,5,3,na,na,
UC_reserve,Valentine,VR25,2019,prefire,90,<20,2,2,4,11.3,3,3,0,1,1.5,15,3,na,na,
UC_reserve,Valentine,VR25,2019,prefire,180,<20,2,2,4,11.3,6,6,1,2,2,1,1.5,na,na,
UC_reserve,Valentine,VR25,2019,prefire,270,<20,2,2,4,11.3,20,5,1,2,0.5,8,3,na,na,
UC_reserve,Valentine,VR24,2019,prefire,0,<20,2,2,4,11.3,28,10,0,4,1,5.5,4,na,na,
UC_reserve,Valentine,VR24,2019,prefire,90,<20,2,2,4,11.3,39,7,2,7,5,0,0,na,na,
UC_reserve,Valentine,VR24,2019,prefire,180,<20,2,2,4,11.3,39,0,0,11,3.5,0,0,na,na,
UC_reserve,Valentine,VR24,2019,prefire,270,<20,2,2,4,11.3,17,6,0,4,1,6.5,2.5,na,na,
